year_month,district,side,tier,secondary_price_per_m2_try,secondary_price_per_m2_usd,new_construction_price_per_m2_try,rental_per_m2_monthly_try,n_listings_secondary,n_listings_new_construction,n_listings_rental,try_usd_rate,cbrt_repo_rate_pct,avg_mortgage_rate_pct,inflation_yoy_pct
2020-04,Bomonti,European,premium,4543,649,4934,19.1,73,46,118,7,8.25,13.25,11
2020-05,Bomonti,European,premium,4488,641,5022,18.9,50,17,53,7,8.25,13.25,11
2020-06,Bomonti,European,premium,4495,642,5039,18.9,86,34,20,7,8.25,13.25,11
2020-07,Bomonti,European,premium,4573,653,5203,19.2,67,75,43,7,8.25,13.25,14
2020-08,Bomonti,European,premium,4405,629,4993,18.5,43,76,113,7,8.25,13.25,14
2020-09,Bomonti,European,premium,4406,629,4989,18.5,141,17,40,7,8.25,13.25,14
2020-10,Bomonti,European,premium,6123,816,6243,25.7,154,5,26,7.5,10.25,15.25,14
2020-11,Bomonti,European,premium,6125,817,6793,25.7,25,40,63,7.5,10.25,15.25,14
2020-12,Bomonti,European,premium,5776,770,6391,24.3,87,59,23,7.5,10.25,15.25,14
2021-01,Bomonti,European,premium,8460,1128,9412,35.5,174,73,55,7.5,17,22,19.5
2021-02,Bomonti,European,premium,8223,1096,8719,34.5,40,45,113,7.5,17,22,19.5
2021-03,Bomonti,European,premium,8242,1099,9079,34.6,84,12,46,7.5,17,22,19.5
2021-04,Bomonti,European,premium,8348,982,9153,35.1,164,18,83,8.5,19,24,19.5
2021-05,Bomonti,European,premium,8497,1000,9393,35.7,83,30,112,8.5,19,24,19.5
2021-06,Bomonti,European,premium,7977,938,8490,33.5,72,40,22,8.5,19,24,19.5
2021-07,Bomonti,European,premium,12185,1434,13566,51.2,34,20,101,8.5,19,24,19.5
2021-08,Bomonti,European,premium,11912,1401,13036,50,44,36,44,8.5,19,24,19.5
2021-09,Bomonti,European,premium,12468,1467,13711,52.4,155,49,29,8.5,19,24,19.5
2021-10,Bomonti,European,premium,12422,1129,14007,52.2,132,52,118,11,14,19,54
2021-11,Bomonti,European,premium,12400,1127,12730,52.1,156,77,32,11,14,19,54
2021-12,Bomonti,European,premium,11771,1070,12732,49.4,149,64,102,11,14,19,54
2022-01,Bomonti,European,premium,22972,1584,24914,96.5,125,31,23,14.5,14,19,54
2022-02,Bomonti,European,premium,24402,1683,26208,102.5,42,9,92,14.5,14,19,54
2022-03,Bomonti,European,premium,24532,1692,27673,103,145,43,17,14.5,14,19,54
2022-04,Bomonti,European,premium,23235,1367,26683,97.6,157,79,10,17,14,19,80
2022-05,Bomonti,European,premium,24233,1425,27734,101.8,35,28,72,17,14,19,80
2022-06,Bomonti,European,premium,24612,1448,28519,103.4,169,51,94,17,14,19,80
2022-07,Bomonti,European,premium,35262,2074,37651,148.1,15,17,50,17,12,17,80
2022-08,Bomonti,European,premium,36181,2128,39803,152,52,48,95,17,12,17,80
2022-09,Bomonti,European,premium,37078,2181,39516,155.7,66,18,80,17,12,17,80
2022-10,Bomonti,European,premium,37765,2020,42373,158.6,156,38,97,18.7,9,14,64
2022-11,Bomonti,European,premium,36795,1968,40534,154.5,101,79,103,18.7,9,14,64
2022-12,Bomonti,European,premium,36666,1961,41935,154,73,78,27,18.7,9,14,64
2023-01,Bomonti,European,premium,52410,2496,57889,220.1,123,23,93,21,8.5,13.5,39
2023-02,Bomonti,European,premium,51244,2440,56954,215.2,103,27,43,21,8.5,13.5,39
2023-03,Bomonti,European,premium,52392,2495,55727,220,78,48,35,21,8.5,13.5,39
2023-04,Bomonti,European,premium,52284,2490,57458,219.6,85,79,116,21,8.5,13.5,39
2023-05,Bomonti,European,premium,50939,2426,55193,213.9,160,51,40,21,8.5,13.5,39
2023-06,Bomonti,European,premium,51574,2456,58485,216.6,165,11,24,21,8.5,13.5,39
2023-07,Bomonti,European,premium,65724,2480,75938,276,37,69,64,26.5,25,30,65
2023-08,Bomonti,European,premium,61758,2330,66107,259.4,172,31,100,26.5,25,30,65
2023-09,Bomonti,European,premium,63781,2407,68387,267.9,110,24,90,26.5,25,30,65
2023-10,Bomonti,European,premium,64358,2219,72311,270.3,86,79,76,29,42.5,47.5,65
2023-11,Bomonti,European,premium,62813,2166,70311,263.8,81,29,52,29,42.5,47.5,65
2023-12,Bomonti,European,premium,64541,2226,68317,271.1,156,65,47,29,42.5,47.5,65
2024-01,Bomonti,European,premium,72633,2270,81131,305.1,88,22,68,32,50,55,75
2024-02,Bomonti,European,premium,76162,2380,86883,319.9,98,18,69,32,50,55,75
2024-03,Bomonti,European,premium,73151,2286,79111,307.2,26,39,67,32,50,55,75
2024-04,Bomonti,European,premium,77039,2407,84850,323.6,68,28,91,32,50,55,75
2024-05,Bomonti,European,premium,71031,2220,77405,298.3,104,13,99,32,50,55,75
2024-06,Bomonti,European,premium,72057,2252,81663,302.6,129,77,59,32,50,55,75
2024-07,Bomonti,European,premium,77552,2281,86920,325.7,142,20,22,34,50,55,49
2024-08,Bomonti,European,premium,79811,2347,87001,335.2,61,9,79,34,50,55,49
2024-09,Bomonti,European,premium,76655,2255,84725,321.9,24,67,103,34,50,55,49
2024-10,Bomonti,European,premium,76294,2244,83131,320.4,30,47,62,34,50,55,49
2024-11,Bomonti,European,premium,72721,2139,76714,305.4,47,62,39,34,50,55,49
2024-12,Bomonti,European,premium,79446,2337,85563,333.7,127,69,40,34,50,55,49
2025-01,Bomonti,European,premium,82979,2305,92830,348.5,51,68,49,36,47.5,52.5,36
2025-02,Bomonti,European,premium,83029,2306,91236,348.7,142,10,53,36,47.5,52.5,36
2025-03,Bomonti,European,premium,84664,2352,95077,355.6,105,71,81,36,47.5,52.5,36
2025-04,Bomonti,European,premium,82314,2286,90734,345.7,156,30,18,36,47.5,52.5,36
2025-05,Bomonti,European,premium,83432,2318,88922,350.4,81,31,104,36,47.5,52.5,36
2025-06,Bomonti,European,premium,87562,2432,98097,367.8,150,79,31,36,47.5,52.5,36
2025-07,Bomonti,European,premium,90443,2478,97948,379.9,68,67,11,36.5,45,50,30
2025-08,Bomonti,European,premium,88445,2423,100490,371.5,83,40,106,36.5,45,50,30
2025-09,Bomonti,European,premium,85976,2356,96324,361.1,151,50,39,36.5,45,50,30
2025-10,Bomonti,European,premium,86247,2363,98625,362.2,65,10,39,36.5,45,50,30
2025-11,Bomonti,European,premium,88288,2419,94978,370.8,40,59,14,36.5,45,50,30
2025-12,Bomonti,European,premium,89182,2443,95646,374.6,116,35,76,36.5,45,50,30
2026-01,Bomonti,European,premium,86052,2358,95889,361.4,162,73,39,36.5,45,50,30
2026-02,Bomonti,European,premium,88804,2433,94818,373,150,11,84,36.5,45,50,30
2026-03,Bomonti,European,premium,88341,2420,102853,371,26,30,104,36.5,45,50,30
2026-04,Bomonti,European,premium,92077,2523,100518,386.7,49,79,23,36.5,45,50,30
2020-01,Bakırköy,European,premium,3050,492,3411,12.8,179,73,49,6.2,10.75,15.75,11
2020-02,Bakırköy,European,premium,2990,482,3336,12.6,47,18,44,6.2,10.75,15.75,11
2020-03,Bakırköy,European,premium,2970,479,3280,12.5,99,29,93,6.2,10.75,15.75,11
2020-04,Bakırköy,European,premium,3733,533,4083,15.7,24,61,106,7,8.25,13.25,11
2020-05,Bakırköy,European,premium,3614,516,4082,15.2,30,27,60,7,8.25,13.25,11
2020-06,Bakırköy,European,premium,3509,501,3867,14.7,15,76,25,7,8.25,13.25,11
2020-07,Bakırköy,European,premium,3597,514,3995,15.1,156,79,65,7,8.25,13.25,14
2020-08,Bakırköy,European,premium,3607,515,3940,15.1,132,38,70,7,8.25,13.25,14
2020-09,Bakırköy,European,premium,3738,534,4078,15.7,53,75,43,7,8.25,13.25,14
2020-10,Bakırköy,European,premium,4805,641,5189,20.2,89,43,105,7.5,10.25,15.25,14
2020-11,Bakırköy,European,premium,4630,617,5478,19.4,84,20,56,7.5,10.25,15.25,14
2020-12,Bakırköy,European,premium,4947,660,5417,20.8,120,20,18,7.5,10.25,15.25,14
2021-01,Bakırköy,European,premium,6384,851,6492,26.8,148,25,65,7.5,17,22,19.5
2021-02,Bakırköy,European,premium,6672,890,7413,28,73,21,32,7.5,17,22,19.5
2021-03,Bakırköy,European,premium,6498,866,7236,27.3,122,32,104,7.5,17,22,19.5
2021-04,Bakırköy,European,premium,6637,781,7460,27.9,28,13,87,8.5,19,24,19.5
2021-05,Bakırköy,European,premium,6699,788,7412,28.1,149,60,115,8.5,19,24,19.5
2021-06,Bakırköy,European,premium,6582,774,7332,27.6,60,6,28,8.5,19,24,19.5
2021-07,Bakırköy,European,premium,9666,1137,10721,40.6,174,56,76,8.5,19,24,19.5
2021-08,Bakırköy,European,premium,9608,1130,10653,40.4,175,61,22,8.5,19,24,19.5
2021-09,Bakırköy,European,premium,9458,1113,10552,39.7,155,37,17,8.5,19,24,19.5
2021-10,Bakırköy,European,premium,9912,901,10838,41.6,31,60,25,11,14,19,54
2021-11,Bakırköy,European,premium,9494,863,10677,39.9,71,24,29,11,14,19,54
2021-12,Bakırköy,European,premium,9590,872,10394,40.3,113,43,73,11,14,19,54
2022-01,Bakırköy,European,premium,19771,1364,21615,83,150,53,115,14.5,14,19,54
2022-02,Bakırköy,European,premium,19212,1325,20317,80.7,53,67,66,14.5,14,19,54
2022-03,Bakırköy,European,premium,19068,1315,21973,80.1,157,61,50,14.5,14,19,54
2022-04,Bakırköy,European,premium,18965,1116,21470,79.7,151,10,69,17,14,19,80
2022-05,Bakırköy,European,premium,19037,1120,21012,80,154,70,48,17,14,19,80
2022-06,Bakırköy,European,premium,20027,1178,23705,84.1,85,18,36,17,14,19,80
2022-07,Bakırköy,European,premium,29496,1735,31489,123.9,152,68,24,17,12,17,80
2022-08,Bakırköy,European,premium,29771,1751,32208,125,138,6,28,17,12,17,80
2022-09,Bakırköy,European,premium,29694,1747,31392,124.7,146,23,61,17,12,17,80
2022-10,Bakırköy,European,premium,28340,1516,29211,119,124,75,73,18.7,9,14,64
2022-11,Bakırköy,European,premium,30194,1615,32520,126.8,172,5,12,18.7,9,14,64
2022-12,Bakırköy,European,premium,29823,1595,31450,125.3,28,39,53,18.7,9,14,64
2023-01,Bakırköy,European,premium,39472,1880,43518,165.8,22,71,79,21,8.5,13.5,39
2023-02,Bakırköy,European,premium,40043,1907,46297,168.2,66,20,34,21,8.5,13.5,39
2023-03,Bakırköy,European,premium,40764,1941,45679,171.2,58,16,91,21,8.5,13.5,39
2023-04,Bakırköy,European,premium,41054,1955,44672,172.4,154,44,63,21,8.5,13.5,39
2023-05,Bakırköy,European,premium,40803,1943,44026,171.4,98,77,103,21,8.5,13.5,39
2023-06,Bakırköy,European,premium,40706,1938,46053,171,111,44,109,21,8.5,13.5,39
2023-07,Bakırköy,European,premium,52996,2000,58575,222.6,115,46,22,26.5,25,30,65
2023-08,Bakırköy,European,premium,51327,1937,55342,215.6,17,24,53,26.5,25,30,65
2023-09,Bakırköy,European,premium,50154,1893,55904,210.6,41,40,33,26.5,25,30,65
2023-10,Bakırköy,European,premium,51789,1786,57323,217.5,141,54,56,29,42.5,47.5,65
2023-11,Bakırköy,European,premium,51093,1762,54417,214.6,114,68,19,29,42.5,47.5,65
2023-12,Bakırköy,European,premium,49756,1716,55193,209,118,62,61,29,42.5,47.5,65
2024-01,Bakırköy,European,premium,58365,1824,64367,245.1,153,33,12,32,50,55,75
2024-02,Bakırköy,European,premium,60448,1889,67067,253.9,95,7,23,32,50,55,75
2024-03,Bakırköy,European,premium,59538,1861,63277,250.1,128,69,68,32,50,55,75
2024-04,Bakırköy,European,premium,58418,1826,63693,245.4,89,72,14,32,50,55,75
2024-05,Bakırköy,European,premium,57602,1800,64097,241.9,65,34,60,32,50,55,75
2024-06,Bakırköy,European,premium,57348,1792,61760,240.9,136,57,88,32,50,55,75
2024-07,Bakırköy,European,premium,63412,1865,72626,266.3,68,44,42,34,50,55,49
2024-08,Bakırköy,European,premium,65395,1923,72364,274.7,173,50,11,34,50,55,49
2024-09,Bakırköy,European,premium,61968,1823,65100,260.3,175,54,46,34,50,55,49
2024-10,Bakırköy,European,premium,59871,1761,62311,251.5,147,56,98,34,50,55,49
2024-11,Bakırköy,European,premium,61037,1795,68032,256.4,114,76,17,34,50,55,49
2024-12,Bakırköy,European,premium,63614,1871,68857,267.2,119,62,48,34,50,55,49
2025-01,Bakırköy,European,premium,67790,1883,75664,284.7,27,63,25,36,47.5,52.5,36
2025-02,Bakırköy,European,premium,67685,1880,76239,284.3,128,23,62,36,47.5,52.5,36
2025-03,Bakırköy,European,premium,66112,1836,70232,277.7,164,16,43,36,47.5,52.5,36
2025-04,Bakırköy,European,premium,68940,1915,74103,289.5,164,36,42,36,47.5,52.5,36
2025-05,Bakırköy,European,premium,66827,1856,75647,280.7,114,65,48,36,47.5,52.5,36
2025-06,Bakırköy,European,premium,66527,1848,72902,279.4,125,77,106,36,47.5,52.5,36
2025-07,Bakırköy,European,premium,69599,1907,74797,292.3,105,47,13,36.5,45,50,30
2025-08,Bakırköy,European,premium,72374,1983,78103,304,28,51,55,36.5,45,50,30
2025-09,Bakırköy,European,premium,70436,1930,78376,295.8,74,48,69,36.5,45,50,30
2025-10,Bakırköy,European,premium,68445,1875,75660,287.5,15,56,55,36.5,45,50,30
2025-11,Bakırköy,European,premium,73825,2023,79149,310.1,91,48,53,36.5,45,50,30
2025-12,Bakırköy,European,premium,73988,2027,81282,310.8,150,23,88,36.5,45,50,30
2026-01,Bakırköy,European,premium,72166,1977,76255,303.1,60,16,15,36.5,45,50,30
2026-02,Bakırköy,European,premium,72288,1980,76115,303.6,120,42,115,36.5,45,50,30
2026-03,Bakırköy,European,premium,68184,1868,73256,286.4,134,8,62,36.5,45,50,30
2026-04,Bakırköy,European,premium,74397,2038,81223,312.5,16,10,50,36.5,45,50,30
2020-01,Yeşilköy,European,premium,3658,590,4104,15.4,33,35,38,6.2,10.75,15.75,11
2020-02,Yeşilköy,European,premium,3777,609,4182,15.9,126,49,53,6.2,10.75,15.75,11
2020-03,Yeşilköy,European,premium,3863,623,4205,16.2,136,78,102,6.2,10.75,15.75,11
2020-04,Yeşilköy,European,premium,4286,612,4704,18,177,63,73,7,8.25,13.25,11
2020-05,Yeşilköy,European,premium,4479,640,4816,18.8,116,30,66,7,8.25,13.25,11
2020-06,Yeşilköy,European,premium,4572,653,4964,19.2,90,67,33,7,8.25,13.25,11
2020-07,Yeşilköy,European,premium,4549,650,4828,19.1,164,12,97,7,8.25,13.25,14
2020-08,Yeşilköy,European,premium,4513,645,4832,19,96,47,96,7,8.25,13.25,14
2020-09,Yeşilköy,European,premium,4568,653,4957,19.2,99,20,118,7,8.25,13.25,14
2020-10,Yeşilköy,European,premium,6103,814,6626,25.6,153,50,28,7.5,10.25,15.25,14
2020-11,Yeşilköy,European,premium,5843,779,6724,24.5,110,58,41,7.5,10.25,15.25,14
2020-12,Yeşilköy,European,premium,5983,798,6582,25.1,18,19,11,7.5,10.25,15.25,14
2021-01,Yeşilköy,European,premium,7956,1061,8892,33.4,164,15,89,7.5,17,22,19.5
2021-02,Yeşilköy,European,premium,8206,1094,8978,34.5,148,36,70,7.5,17,22,19.5
2021-03,Yeşilköy,European,premium,8557,1141,9387,35.9,157,36,80,7.5,17,22,19.5
2021-04,Yeşilköy,European,premium,8462,996,9167,35.5,58,76,15,8.5,19,24,19.5
2021-05,Yeşilköy,European,premium,8089,952,9044,34,176,14,105,8.5,19,24,19.5
2021-06,Yeşilköy,European,premium,8378,986,9470,35.2,162,73,29,8.5,19,24,19.5
2021-07,Yeşilköy,European,premium,12542,1476,13588,52.7,76,78,67,8.5,19,24,19.5
2021-08,Yeşilköy,European,premium,12397,1458,13640,52.1,59,47,112,8.5,19,24,19.5
2021-09,Yeşilköy,European,premium,12204,1436,13201,51.3,151,55,27,8.5,19,24,19.5
2021-10,Yeşilköy,European,premium,11933,1085,12548,50.1,120,34,39,11,14,19,54
2021-11,Yeşilköy,European,premium,11861,1078,13543,49.8,175,68,86,11,14,19,54
2021-12,Yeşilköy,European,premium,11908,1083,12970,50,133,41,36,11,14,19,54
2022-01,Yeşilköy,European,premium,24792,1710,27287,104.1,161,54,70,14.5,14,19,54
2022-02,Yeşilköy,European,premium,25311,1746,27016,106.3,165,58,60,14.5,14,19,54
2022-03,Yeşilköy,European,premium,24413,1684,26338,102.5,140,33,76,14.5,14,19,54
2022-04,Yeşilköy,European,premium,23140,1361,25641,97.2,143,69,108,17,14,19,80
2022-05,Yeşilköy,European,premium,24389,1435,25852,102.4,93,16,95,17,14,19,80
2022-06,Yeşilköy,European,premium,24008,1412,25426,100.8,19,49,87,17,14,19,80
2022-07,Yeşilköy,European,premium,38659,2274,43001,162.4,102,14,100,17,12,17,80
2022-08,Yeşilköy,European,premium,38888,2288,44136,163.3,24,68,77,17,12,17,80
2022-09,Yeşilköy,European,premium,38380,2258,39591,161.2,28,14,69,17,12,17,80
2022-10,Yeşilköy,European,premium,37832,2023,44097,158.9,115,63,94,18.7,9,14,64
2022-11,Yeşilköy,European,premium,37311,1995,41804,156.7,167,40,19,18.7,9,14,64
2022-12,Yeşilköy,European,premium,37308,1995,40338,156.7,75,50,25,18.7,9,14,64
2023-01,Yeşilköy,European,premium,49782,2371,54950,209.1,25,27,78,21,8.5,13.5,39
2023-02,Yeşilköy,European,premium,53242,2535,55829,223.6,95,42,90,21,8.5,13.5,39
2023-03,Yeşilköy,European,premium,50811,2420,54772,213.4,136,72,84,21,8.5,13.5,39
2023-04,Yeşilköy,European,premium,53338,2540,57356,224,154,66,24,21,8.5,13.5,39
2023-05,Yeşilköy,European,premium,50716,2415,57214,213,28,57,77,21,8.5,13.5,39
2023-06,Yeşilköy,European,premium,52073,2480,58200,218.7,137,23,22,21,8.5,13.5,39
2023-07,Yeşilköy,European,premium,65715,2480,69983,276,67,78,24,26.5,25,30,65
2023-08,Yeşilköy,European,premium,66022,2491,73467,277.3,31,5,103,26.5,25,30,65
2023-09,Yeşilköy,European,premium,66261,2500,71516,278.3,147,58,104,26.5,25,30,65
2023-10,Yeşilköy,European,premium,62012,2138,66703,260.5,127,77,86,29,42.5,47.5,65
2023-11,Yeşilköy,European,premium,63166,2178,71583,265.3,52,5,116,29,42.5,47.5,65
2023-12,Yeşilköy,European,premium,63284,2182,71088,265.8,24,60,64,29,42.5,47.5,65
2024-01,Yeşilköy,European,premium,73595,2300,81740,309.1,149,78,23,32,50,55,75
2024-02,Yeşilköy,European,premium,72244,2258,77722,303.4,15,22,34,32,50,55,75
2024-03,Yeşilköy,European,premium,73715,2304,81772,309.6,41,18,73,32,50,55,75
2024-04,Yeşilköy,European,premium,77523,2423,82929,325.6,83,6,117,32,50,55,75
2024-05,Yeşilköy,European,premium,75451,2358,82608,316.9,141,50,95,32,50,55,75
2024-06,Yeşilköy,European,premium,73746,2305,81491,309.7,172,11,71,32,50,55,75
2024-07,Yeşilköy,European,premium,76163,2240,84505,319.9,90,49,72,34,50,55,49
2024-08,Yeşilköy,European,premium,79211,2330,84810,332.7,157,46,92,34,50,55,49
2024-09,Yeşilköy,European,premium,76918,2262,86072,323.1,67,79,83,34,50,55,49
2024-10,Yeşilköy,European,premium,80031,2354,90263,336.1,86,54,31,34,50,55,49
2024-11,Yeşilköy,European,premium,79969,2352,87536,335.9,50,16,23,34,50,55,49
2024-12,Yeşilköy,European,premium,76896,2262,88891,323,106,59,29,34,50,55,49
2025-01,Yeşilköy,European,premium,80915,2248,89621,339.8,115,25,57,36,47.5,52.5,36
2025-02,Yeşilköy,European,premium,84305,2342,87357,354.1,20,36,119,36,47.5,52.5,36
2025-03,Yeşilköy,European,premium,82639,2296,90834,347.1,86,39,59,36,47.5,52.5,36
2025-04,Yeşilköy,European,premium,83350,2315,89123,350.1,40,68,45,36,47.5,52.5,36
2025-05,Yeşilköy,European,premium,82418,2289,89089,346.2,76,50,16,36,47.5,52.5,36
2025-06,Yeşilköy,European,premium,82617,2295,96646,347,127,58,60,36,47.5,52.5,36
2025-07,Yeşilköy,European,premium,90740,2486,98104,381.1,21,23,53,36.5,45,50,30
2025-08,Yeşilköy,European,premium,90208,2471,102614,378.9,171,76,51,36.5,45,50,30
2025-09,Yeşilköy,European,premium,87237,2390,94654,366.4,112,9,47,36.5,45,50,30
2025-10,Yeşilköy,European,premium,89378,2449,92896,375.4,164,75,83,36.5,45,50,30
2025-11,Yeşilköy,European,premium,85290,2337,96790,358.2,85,77,109,36.5,45,50,30
2025-12,Yeşilköy,European,premium,91650,2511,102646,384.9,90,38,102,36.5,45,50,30
2026-01,Yeşilköy,European,premium,89614,2455,101002,376.4,163,7,74,36.5,45,50,30
2026-02,Yeşilköy,European,premium,85809,2351,93290,360.4,145,44,16,36.5,45,50,30
2026-03,Yeşilköy,European,premium,90785,2487,97546,381.3,58,40,100,36.5,45,50,30
2026-04,Yeşilköy,European,premium,85118,2332,94273,357.5,62,78,40,36.5,45,50,30
2020-01,Florya,European,premium,4021,649,4558,16.9,70,11,38,6.2,10.75,15.75,11
2020-02,Florya,European,premium,4182,674,4792,17.6,36,46,58,6.2,10.75,15.75,11
2020-03,Florya,European,premium,3968,640,4252,16.7,60,8,53,6.2,10.75,15.75,11
2020-04,Florya,European,premium,4831,690,5038,20.3,122,28,13,7,8.25,13.25,11
2020-05,Florya,European,premium,4873,696,5239,20.5,49,76,68,7,8.25,13.25,11
2020-06,Florya,European,premium,4521,646,5019,19,54,61,13,7,8.25,13.25,11
2020-07,Florya,European,premium,4816,688,5069,20.2,105,27,31,7,8.25,13.25,14
2020-08,Florya,European,premium,4819,688,5325,20.2,59,57,47,7,8.25,13.25,14
2020-09,Florya,European,premium,4926,704,5722,20.7,40,34,76,7,8.25,13.25,14
2020-10,Florya,European,premium,6244,833,7159,26.2,166,78,110,7.5,10.25,15.25,14
2020-11,Florya,European,premium,6300,840,7039,26.5,141,72,21,7.5,10.25,15.25,14
2020-12,Florya,European,premium,6235,831,6919,26.2,46,27,85,7.5,10.25,15.25,14
2021-01,Florya,European,premium,9117,1216,9916,38.3,173,15,69,7.5,17,22,19.5
2021-02,Florya,European,premium,8593,1146,9233,36.1,123,63,90,7.5,17,22,19.5
2021-03,Florya,European,premium,8465,1129,9308,35.6,25,25,38,7.5,17,22,19.5
2021-04,Florya,European,premium,8714,1025,9430,36.6,30,56,57,8.5,19,24,19.5
2021-05,Florya,European,premium,8590,1011,9703,36.1,141,64,66,8.5,19,24,19.5
2021-06,Florya,European,premium,8291,975,9169,34.8,98,6,19,8.5,19,24,19.5
2021-07,Florya,European,premium,12780,1504,14044,53.7,50,8,25,8.5,19,24,19.5
2021-08,Florya,European,premium,13037,1534,13876,54.8,36,69,39,8.5,19,24,19.5
2021-09,Florya,European,premium,13495,1588,14886,56.7,163,24,112,8.5,19,24,19.5
2021-10,Florya,European,premium,12892,1172,14265,54.1,159,49,76,11,14,19,54
2021-11,Florya,European,premium,12711,1156,14712,53.4,42,74,50,11,14,19,54
2021-12,Florya,European,premium,12860,1169,14245,54,75,55,81,11,14,19,54
2022-01,Florya,European,premium,24988,1723,27212,104.9,27,46,98,14.5,14,19,54
2022-02,Florya,European,premium,26205,1807,29153,110.1,120,13,87,14.5,14,19,54
2022-03,Florya,European,premium,26140,1803,28926,109.8,116,10,40,14.5,14,19,54
2022-04,Florya,European,premium,25170,1481,28741,105.7,147,57,87,17,14,19,80
2022-05,Florya,European,premium,24781,1458,27723,104.1,67,51,44,17,14,19,80
2022-06,Florya,European,premium,25711,1512,27807,108,152,47,48,17,14,19,80
2022-07,Florya,European,premium,38986,2293,41866,163.7,18,77,110,17,12,17,80
2022-08,Florya,European,premium,39923,2348,43967,167.7,75,45,96,17,12,17,80
2022-09,Florya,European,premium,40860,2404,42955,171.6,89,20,61,17,12,17,80
2022-10,Florya,European,premium,41056,2196,45902,172.4,94,19,81,18.7,9,14,64
2022-11,Florya,European,premium,40022,2140,46310,168.1,142,14,40,18.7,9,14,64
2022-12,Florya,European,premium,38690,2069,43902,162.5,104,23,86,18.7,9,14,64
2023-01,Florya,European,premium,53613,2553,60686,225.2,49,29,42,21,8.5,13.5,39
2023-02,Florya,European,premium,51602,2457,54693,216.7,82,15,98,21,8.5,13.5,39
2023-03,Florya,European,premium,54806,2610,58964,230.2,147,37,105,21,8.5,13.5,39
2023-04,Florya,European,premium,55882,2661,64906,234.7,154,72,109,21,8.5,13.5,39
2023-05,Florya,European,premium,52916,2520,57828,222.2,167,35,110,21,8.5,13.5,39
2023-06,Florya,European,premium,54668,2603,60428,229.6,101,30,32,21,8.5,13.5,39
2023-07,Florya,European,premium,68734,2594,75053,288.7,126,41,40,26.5,25,30,65
2023-08,Florya,European,premium,68753,2594,76578,288.8,157,49,100,26.5,25,30,65
2023-09,Florya,European,premium,67158,2534,75637,282.1,55,63,77,26.5,25,30,65
2023-10,Florya,European,premium,66718,2301,68910,280.2,39,74,90,29,42.5,47.5,65
2023-11,Florya,European,premium,69894,2410,76565,293.6,95,62,59,29,42.5,47.5,65
2023-12,Florya,European,premium,67113,2314,75421,281.9,87,67,49,29,42.5,47.5,65
2024-01,Florya,European,premium,78136,2442,87180,328.2,134,65,62,32,50,55,75
2024-02,Florya,European,premium,75533,2360,82683,317.2,24,41,86,32,50,55,75
2024-03,Florya,European,premium,75650,2364,87622,317.7,172,39,100,32,50,55,75
2024-04,Florya,European,premium,79741,2492,90614,334.9,82,74,117,32,50,55,75
2024-05,Florya,European,premium,76721,2398,86411,322.2,95,79,25,32,50,55,75
2024-06,Florya,European,premium,78204,2444,87759,328.5,90,37,57,32,50,55,75
2024-07,Florya,European,premium,81376,2393,90841,341.8,107,26,15,34,50,55,49
2024-08,Florya,European,premium,87027,2560,96307,365.5,65,29,58,34,50,55,49
2024-09,Florya,European,premium,83414,2453,91957,350.3,73,28,51,34,50,55,49
2024-10,Florya,European,premium,83025,2442,89314,348.7,86,72,48,34,50,55,49
2024-11,Florya,European,premium,83443,2454,95262,350.5,152,67,33,34,50,55,49
2024-12,Florya,European,premium,85334,2510,99090,358.4,112,67,38,34,50,55,49
2025-01,Florya,European,premium,92739,2576,102529,389.5,167,79,79,36,47.5,52.5,36
2025-02,Florya,European,premium,86403,2400,95661,362.9,168,25,83,36,47.5,52.5,36
2025-03,Florya,European,premium,91776,2549,95791,385.5,76,38,92,36,47.5,52.5,36
2025-04,Florya,European,premium,87397,2428,93016,367.1,96,74,93,36,47.5,52.5,36
2025-05,Florya,European,premium,89965,2499,98091,377.9,82,6,28,36,47.5,52.5,36
2025-06,Florya,European,premium,92107,2559,104722,386.8,128,51,99,36,47.5,52.5,36
2025-07,Florya,European,premium,91726,2513,100997,385.2,109,7,90,36.5,45,50,30
2025-08,Florya,European,premium,94906,2600,104186,398.6,41,37,49,36.5,45,50,30
2025-09,Florya,European,premium,94630,2593,99140,397.4,22,65,26,36.5,45,50,30
2025-10,Florya,European,premium,91939,2519,101356,386.1,162,68,74,36.5,45,50,30
2025-11,Florya,European,premium,93021,2549,99943,390.7,48,25,39,36.5,45,50,30
2025-12,Florya,European,premium,90017,2466,102525,378.1,21,15,116,36.5,45,50,30
2026-01,Florya,European,premium,94085,2578,108955,395.2,16,45,91,36.5,45,50,30
2026-02,Florya,European,premium,97188,2663,104408,408.2,74,76,115,36.5,45,50,30
2026-03,Florya,European,premium,94402,2586,106933,396.5,18,57,73,36.5,45,50,30
2026-04,Florya,European,premium,91859,2517,101198,385.8,118,15,12,36.5,45,50,30
2020-01,Ataköy,European,premium,3240,523,3482,13.6,67,77,118,6.2,10.75,15.75,11
2020-02,Ataköy,European,premium,3284,530,3455,13.8,57,70,69,6.2,10.75,15.75,11
2020-03,Ataköy,European,premium,3258,525,3646,13.7,61,37,12,6.2,10.75,15.75,11
2020-04,Ataköy,European,premium,3970,567,4274,16.7,168,34,69,7,8.25,13.25,11
